,c5,c119,c78,c80,c86,c77,c79,c81,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c161,c163,c183,c191,remark
0,19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO takeoff ,AU,V,  ,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Loss Of Dir Ctl-Grnd,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,TAILWHEEL COCKED RIGHT PRIOR TO takeoff 
1,19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED STUDENT THOUGHT TOW IN TROUBLE & RELEASED HIT TREE ,ME,V,  ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Trees,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,KITE/SAILWING                 ,NONPOWERED                    ,                              ,                    ,                    ,                    ,                    ,TOW PLANE BECAME AIRBORNE THEN SETTLED STUDENT THOUGHT TOW IN TROUBLE & RELEASED HIT TREE 
2,19751029037799A,"2ND ILS APCH,aircraft'S G/S INOP LOM TUNED TO WRONG FREQ ",AU,Z,IP,Attempt Operation Wi,Weather             ,Pilot-In-Command    ,Improper Inst Proc T,Weather             ,Pilot-In-Command    ,                    ,Collision With Trees,Final Approach-IFR,                    ,Pilot Induced       ,Personal            ,None Or Other       ,IFR                 ,Weather Not A Factor,Night               ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"2ND ILS APCH,aircraft'S G/S INOP LOM TUNED TO WRONG FREQ "
3,19751209037899A,pilot NOTED SOFT right BRAKE PEDAL DRG TAXI TO takeoff FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS,AU,V,  ,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Loss Of Dir Ctl-Grnd,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Cargo               ,VFR                 ,Weather Not A Factor,Night               ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,pilot NOTED SOFT right BRAKE PEDAL DRG TAXI TO takeoff FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS
4,19750818025579A,TAXI OFF HARD SFC DUE TFC right MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL ,AF,H,  ,Improper Maintenance,Hidden Hazardous Obj,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Other,"Ground Taxi, Other A",                    ,"OPDEF, Other Than Pi",Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Night               ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,TAXI OFF HARD SFC DUE TFC right MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL 
5,19750905025029A,aircraft BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED ,AF,V,HO,Improper Maintenance,Other/Miscellaneous ,Airport Supervisory ,Fail Avd Objs Or Obs,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Coll With Airport Ha,"Ground Taxi, Other A",                    ,"Miscellaneous, Other",Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,aircraft BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED 
6,19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB  DIDNT USE EMERG GR DOWN SYS ,AU,V,GE,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,Fail To Use/Misuse E,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Wheels-Up Landing   ,In Traffic Pattern-C,                    ,Pilot Induced       ,Business            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,DEP FOR DEST WITH KNOWN ELEC PROB  DIDNT USE EMERG GR DOWN SYS 
7,19760215007629A,MTNS OBSCURED FLT TO CK VOR REC REPTD INOP PRIOR DAY ,AU,Z,RI,Attempt Operation Wi,Weather             ,Pilot-In-Command    ,Unable Util Navig Fa,Weather             ,Pilot-In-Command    ,                    ,Control Coll With Gr,Initial Approach-IFR,                    ,Pilot Induced       ,Personal            ,None Or Other       ,IFR                 ,Frontal Activity    ,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,MTNS OBSCURED FLT TO CK VOR REC REPTD INOP PRIOR DAY 
8,19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE ,ME,V,  ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Uncontroll Coll With,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE 
9,19760531024959A,maintenance NOT PERFORMED DUE PARTS NOT AVAILABLE  TURBOCHARGER WASTE GATE DID NOT ACTUATE ,AU,E,PB,Attempt Operation Wi,Emergency Landing   ,Pilot-In-Command    ,Poor Preflight Plan/,Emergency Landing   ,Pilot-In-Command    ,                    ,Stall               ,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,maintenance NOT PERFORMED DUE PARTS NOT AVAILABLE  TURBOCHARGER WASTE GATE DID NOT ACTUATE 
10,19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED GEAR-UP LDG IN MESQUITE BRUSH DENSITY ALT,7200FT  HIGH OIL USAGE ENG",AU,E,79,Attempt Operation Wi,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Wheels-Up Landing   ,Fcd/Prec Ldg From Cr,                    ,Pilot And Maintenanc,Other               ,Ferry               ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"LEFT ENG OIL SUPPLY EXHAUSTED GEAR-UP LDG IN MESQUITE BRUSH DENSITY ALT,7200FT  HIGH OIL USAGE ENG"
11,19761022033409A,pilot CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE ,ME,V,GC,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,Improper Oper Brake/,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Loss Of Dir Ctl-Grnd,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,pilot CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE 
