,0
0,HU16A       
1,HU16B       
19,ARROWFOH58A 
20,ARROWFOH58A+
21,ARROWFOH58C 
22,ARROWFUH1H  
25,AT1OBHCAMRON
53,UC43H       
66,C45H        
78,TC45H       
91,RC12H       
96,UC12H       
112,RU21H       
117,AHIGGARLIK  
119,OH58A       
120,0H4A        
121,HTL7        
123,TH1LHRCULS  
124,UH1BGARLIK  
125,UH1LHRCULS  
127,YHO3BR      
134,HU16CBUEHN  
135,CH47A       
139,UH1FCALFOR  
140,OH13HMK5B   
159,CH1A        
160,CH1B        
161,CH1C        
162,CH1         
163,CH1CIFAR    
164,YH41        
168,O52HOLMBERG 
245,GH1         
246,GH2         
247,GH3         
248,NH1         
253,DH115       
255,DHC5A       
260,HUS1A       
261,HUS1        
262,UH34DFEDRIC 
263,UH34E       
264,OH5A        
271,UC61H       
281,CH19SKRSKY  
282,CH19ESKRSKY 
283,HRS1SKRSKY  
284,HRS3SKRSKY  
285,UH19CSKRSKY 
286,UH19DSKRSKY 
287,UH19F       
288,YH19ASKRSKY 
289,CH37BSHRSKY 
290,CH37CSKRSKY 
291,HR2S1SKRSKY 
292,H45HAMILTON 
293,H47HAMILTON 
294,OH13EISENBG 
301,HS1N        
302,HH43BCHOPPER
303,HH43FCHOPER 
304,UH12A       
305,UH12B       
306,UH12C       
307,UH12D       
308,UH12E       
309,UH12EL      
310,H23A        
311,H23B        
312,H23C        
313,H23D        
314,H23F        
315,HTE1        
316,HTE2        
317,UH12L       
318,UH12L4      
319,OH23G       
320,UH12        
321,UH1EHRCULS  
322,OH6A        
323,YOH6A       
324,H25ASTERLING
325,UH1BINTHEL  
326,S58HUS1     
329,HTK1        
330,H43A        
331,HOK1        
332,HUK1        
341,CH21C       
342,C46ALBSMITH 
343,C46DLBSMITH 
344,C46FLBSMITH 
359,H21BMARRS   
360,YH30        
370,TH1L        
371,UH1E        
372,UH1L        
378,P2VBLKHLS   
381,SP2HARUNON  
382,SP2HBLKHLS  
383,SP2HEAC     
400,L4H         
406,HE1         
409,HH43FCHOPPER
421,UH34D       
422,UH34J       
423,UC80HARLOW  
425,UH1B        
429,H21BRISLEY  
438,SH3H        
439,HO5S1       
440,YH18A       
441,CH34A       
442,CH34C       
443,CH3B        
444,HSS2        
445,HSS22       
446,RH3A        
447,SH3A        
448,SH3D        
449,VH3A        
450,CH54B       
453,UH1ESMTHHL  
457,UC81H       
471,UH1ASTHRN   
472,UH1BSTHRN   
473,HW75        
513,L2H         
520,OH13S       
521,OH13ETEXHELI
522,OH13HTEXHELI
537,HU16D       
541,UC72H       
549,H21BWRIGHT  
551,YC122CCHASE 
